epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.407,1.4013,2.00622,1.58293,0.52047,0.47867,0.48029,0.24837,1.79842,1.92632,1.91848,0.000665947,0.000665947,0.000665947
2,332.133,1.41547,1.54483,1.60971,0.63892,0.5438,0.57232,0.27792,1.78682,1.70612,1.81723,0.00106876,0.00106876,0.00106876
3,496.272,1.35454,1.41833,1.55535,0.7314,0.6025,0.68646,0.3829,1.53737,1.38626,1.59276,0.00120757,0.00120757,0.00120757
4,652.851,1.26246,1.23519,1.4782,0.80767,0.68193,0.77373,0.47461,1.40998,1.15438,1.50064,0.000812,0.000812,0.000812
5,805.914,1.15549,1.06722,1.39533,0.85566,0.75053,0.84528,0.53649,1.30085,0.96278,1.41984,0.000416,0.000416,0.000416
