epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.392,1.52983,2.3457,1.70658,0.58999,0.50162,0.53782,0.27564,1.76776,1.74327,1.92508,0.000665947,0.000665947,0.000665947
2,403.737,1.55838,1.5912,1.77478,0.66821,0.52673,0.61295,0.34215,1.61575,1.65375,1.74528,0.00120068,0.00120068,0.00120068
3,565.031,1.50985,1.45783,1.72712,0.69842,0.53555,0.60497,0.35616,1.57431,1.62636,1.72659,0.00160342,0.00160342,0.00160342
4,720.541,1.43415,1.29707,1.65992,0.75127,0.62955,0.72228,0.42519,1.48723,1.25112,1.59665,0.001406,0.001406,0.001406
5,874.835,1.35396,1.1661,1.58443,0.78401,0.68332,0.77472,0.47924,1.41198,1.08696,1.53346,0.001208,0.001208,0.001208
6,1034.3,1.28875,1.05514,1.52133,0.84967,0.73326,0.82651,0.51185,1.37176,0.99001,1.48018,0.00101,0.00101,0.00101
7,1183.63,1.23599,0.9674,1.47464,0.86445,0.74957,0.84888,0.53731,1.29275,0.94048,1.43788,0.000812,0.000812,0.000812
8,1333.68,1.19234,0.89629,1.43023,0.87858,0.78559,0.87912,0.57825,1.23781,0.8495,1.37184,0.000614,0.000614,0.000614
9,1485.91,1.14554,0.8277,1.38977,0.87888,0.81294,0.89196,0.60008,1.18418,0.80695,1.33336,0.000416,0.000416,0.000416
10,1634.4,1.10228,0.76131,1.35381,0.906,0.8324,0.91368,0.62282,1.16342,0.732,1.29818,0.000218,0.000218,0.000218
